ITERATION,POPULATION,BETA,ALFA,Path,Cost
99.0,9.0,0.9,0.8,"['2', '1', '4', '5', '3']",1551.0
99.0,9.0,0.9,0.9,"['5', '4', '1', '2', '3']",1551.0
99.0,9.0,1.0,0.8,"['5', '3', '2', '1', '4']",1551.0
99.0,9.0,1.0,0.9,"['4', '5', '3', '2', '1']",1551.0
99.0,9.0,1.1,0.8,"['1', '4', '5', '3', '2']",1551.0
99.0,9.0,1.1,0.9,"['3', '2', '1', '4', '5']",1551.0
99.0,10.0,0.9,0.8,"['1', '4', '5', '3', '2']",1551.0
99.0,10.0,0.9,0.9,"['1', '2', '3', '5', '4']",1551.0
99.0,10.0,1.0,0.8,"['2', '1', '4', '5', '3']",1551.0
99.0,10.0,1.0,0.9,"['1', '4', '5', '3', '2']",1551.0
99.0,10.0,1.1,0.8,"['3', '5', '4', '1', '2']",1551.0
99.0,10.0,1.1,0.9,"['4', '5', '3', '2', '1']",1551.0
99.0,11.0,0.9,0.8,"['3', '4', '1', '2', '5']",1616.0
99.0,11.0,0.9,0.9,"['3', '2', '1', '4', '5']",1551.0
99.0,11.0,1.0,0.8,"['3', '5', '4', '1', '2']",1551.0
99.0,11.0,1.0,0.9,"['3', '5', '4', '1', '2']",1551.0
99.0,11.0,1.1,0.8,"['2', '3', '5', '4', '1']",1551.0
99.0,11.0,1.1,0.9,"['5', '3', '2', '1', '4']",1551.0
100.0,9.0,0.9,0.8,"['4', '5', '3', '2', '1']",1551.0
100.0,9.0,0.9,0.9,"['1', '4', '5', '3', '2']",1551.0
100.0,9.0,1.0,0.8,"['2', '3', '5', '4', '1']",1551.0
100.0,9.0,1.0,0.9,"['1', '2', '3', '5', '4']",1551.0
100.0,9.0,1.1,0.8,"['4', '1', '2', '3', '5']",1551.0
100.0,9.0,1.1,0.9,"['1', '2', '3', '5', '4']",1551.0
100.0,10.0,0.9,0.8,"['1', '2', '3', '5', '4']",1551.0
100.0,10.0,0.9,0.9,"['3', '2', '1', '4', '5']",1551.0
100.0,10.0,1.0,0.8,"['5', '4', '1', '2', '3']",1551.0
100.0,10.0,1.0,0.9,"['3', '2', '1', '4', '5']",1551.0
100.0,10.0,1.1,0.8,"['1', '2', '3', '5', '4']",1551.0
100.0,10.0,1.1,0.9,"['5', '3', '2', '1', '4']",1551.0
100.0,11.0,0.9,0.8,"['5', '4', '1', '2', '3']",1551.0
100.0,11.0,0.9,0.9,"['1', '4', '5', '3', '2']",1551.0
100.0,11.0,1.0,0.8,"['3', '5', '4', '1', '2']",1551.0
100.0,11.0,1.0,0.9,"['3', '5', '4', '1', '2']",1551.0
100.0,11.0,1.1,0.8,"['4', '5', '3', '2', '1']",1551.0
100.0,11.0,1.1,0.9,"['3', '2', '1', '4', '5']",1551.0
101.0,9.0,0.9,0.8,"['1', '4', '5', '3', '2']",1551.0
101.0,9.0,0.9,0.9,"['5', '3', '2', '1', '4']",1551.0
101.0,9.0,1.0,0.8,"['2', '1', '4', '5', '3']",1551.0
101.0,9.0,1.0,0.9,"['1', '2', '3', '5', '4']",1551.0
101.0,9.0,1.1,0.8,"['1', '4', '5', '3', '2']",1551.0
101.0,9.0,1.1,0.9,"['5', '3', '2', '1', '4']",1551.0
101.0,10.0,0.9,0.8,"['3', '5', '4', '1', '2']",1551.0
101.0,10.0,0.9,0.9,"['2', '1', '4', '5', '3']",1551.0
101.0,10.0,1.0,0.8,"['3', '2', '1', '4', '5']",1551.0
101.0,10.0,1.0,0.9,"['3', '2', '1', '4', '5']",1551.0
101.0,10.0,1.1,0.8,"['4', '5', '3', '2', '1']",1551.0
101.0,10.0,1.1,0.9,"['4', '3', '5', '2', '1']",1616.0
101.0,11.0,0.9,0.8,"['5', '4', '1', '2', '3']",1551.0
101.0,11.0,0.9,0.9,"['5', '3', '2', '1', '4']",1551.0
101.0,11.0,1.0,0.8,"['3', '2', '1', '4', '5']",1551.0
101.0,11.0,1.0,0.9,"['5', '3', '2', '1', '4']",1551.0
101.0,11.0,1.1,0.8,"['1', '4', '5', '3', '2']",1551.0
101.0,11.0,1.1,0.9,"['1', '2', '3', '5', '4']",1551.0
